               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.093189,            0.021471,            0.056355,             0.55053,            0.070953,            0.041225,           0.0091455,             0.11649,            0.012844,            0.084197,           0.0091585,           0.0091585,           0.0091585
                  36,            0.093385,            0.026313,            0.056716,             0.79937,              0.0625,            0.038288,           0.0069425,             0.11434,            0.013376,            0.077441,           0.0091337,           0.0091337,           0.0091337
                  37,             0.09343,             0.02732,            0.056847,             0.84296,              0.0625,             0.07049,            0.010671,              0.1097,            0.014263,            0.073938,            0.009109,            0.009109,            0.009109
                  38,            0.092607,            0.027182,            0.056119,             0.37774,               0.125,           0.0091041,           0.0022387,              0.1099,            0.014284,            0.074129,           0.0090843,           0.0090843,           0.0090843
                  39,            0.091803,            0.024481,            0.055171,             0.63512,              0.0625,            0.041727,             0.01781,             0.10692,               0.015,            0.065838,           0.0090595,           0.0090595,           0.0090595
                  40,            0.090982,            0.024345,            0.055623,             0.50494,              0.0625,            0.011854,           0.0022041,             0.10725,            0.015308,            0.066834,           0.0090347,           0.0090347,           0.0090347
                  41,            0.090965,            0.023123,            0.055887,             0.80687,              0.0625,            0.065396,           0.0078098,             0.11273,            0.020058,            0.077106,             0.00901,             0.00901,             0.00901
                  42,             0.09096,            0.022781,            0.054076,             0.97047,              0.0625,            0.068086,           0.0079696,              0.1124,            0.018721,            0.075162,           0.0089853,           0.0089853,           0.0089853
                  43,             0.09238,            0.023559,            0.054987,             0.78613,              0.0625,            0.068392,           0.0084635,             0.10733,            0.018673,            0.072227,           0.0089605,           0.0089605,           0.0089605
                  44,            0.089128,            0.024788,            0.054473,             0.50845,              0.0625,            0.015933,           0.0045138,             0.10178,            0.016531,            0.063243,           0.0089358,           0.0089358,           0.0089358
                  45,            0.090067,            0.026734,            0.054848,           0.0038016,             0.40238,           0.0071237,           0.0020285,             0.10179,            0.018075,            0.066214,            0.008911,            0.008911,            0.008911
                  46,            0.089919,            0.023125,            0.054347,             0.38704,              0.0625,            0.021571,           0.0058885,            0.099182,            0.018162,            0.064707,           0.0088863,           0.0088863,           0.0088863
                  47,            0.088086,            0.025964,            0.054081,             0.38509,              0.0625,            0.027624,           0.0056674,            0.099752,            0.018593,            0.065472,           0.0088615,           0.0088615,           0.0088615
                  48,            0.089809,            0.025777,            0.054051,           0.0026624,             0.31607,            0.010552,           0.0023373,             0.09972,            0.018634,            0.064129,           0.0088368,           0.0088368,           0.0088368
                  49,            0.087147,            0.024094,            0.054034,             0.38349,              0.0625,            0.018106,           0.0060278,            0.098033,            0.018763,            0.065054,            0.008812,            0.008812,            0.008812
                  50,            0.086438,            0.023386,            0.052108,             0.27832,              0.0625,            0.022275,           0.0057512,            0.098876,            0.018748,            0.064922,           0.0087872,           0.0087872,           0.0087872
                  51,            0.088209,             0.02374,            0.054924,              0.5243,              0.0625,            0.025517,             0.01086,            0.096359,            0.017504,            0.060927,           0.0087625,           0.0087625,           0.0087625
                  52,            0.088254,            0.026698,            0.053761,             0.26681,              0.0625,            0.019687,           0.0046527,            0.099647,            0.020479,            0.063564,           0.0087378,           0.0087378,           0.0087378
                  53,            0.087194,            0.025246,            0.052402,           0.0071377,             0.13036,            0.008712,           0.0022294,             0.10238,            0.024496,            0.066641,            0.008713,            0.008713,            0.008713
                  54,            0.087245,            0.025167,            0.053143,             0.13046,               0.125,           0.0079684,           0.0010561,             0.11093,            0.019893,            0.094827,           0.0086882,           0.0086882,           0.0086882
                  55,             0.08356,            0.024132,            0.051776,           0.0019496,             0.10536,           0.0020884,          0.00031331,             0.12296,            0.020399,             0.10976,           0.0086635,           0.0086635,           0.0086635
                  56,            0.086957,            0.026214,            0.052402,           0.0011798,                0.05,           0.0022707,          0.00050166,             0.10561,            0.019657,            0.067232,           0.0086388,           0.0086388,           0.0086388
                  57,            0.086783,            0.024158,            0.052668,             0.34851,            0.017857,            0.035143,            0.010256,            0.097218,             0.02417,            0.063047,            0.008614,            0.008614,            0.008614
                  58,            0.084999,            0.023191,            0.051075,             0.42254,            0.017857,            0.010777,           0.0025751,            0.095132,            0.024174,            0.064452,           0.0085893,           0.0085893,           0.0085893
                  59,            0.085064,            0.024437,            0.051877,             0.50637,              0.0625,            0.021621,           0.0051486,            0.092489,            0.016357,            0.060664,           0.0085645,           0.0085645,           0.0085645
                  60,            0.085208,            0.025454,            0.053548,             0.50609,              0.0625,             0.03143,           0.0080685,             0.09219,            0.016398,            0.061724,           0.0085398,           0.0085398,           0.0085398
                  61,            0.085198,            0.024899,            0.053352,             0.66957,             0.14286,            0.055908,           0.0084003,            0.090714,            0.017423,            0.061982,            0.008515,            0.008515,            0.008515
                  62,            0.085327,            0.025599,            0.053183,             0.79078,            0.017857,            0.037176,           0.0099387,            0.094173,            0.018272,            0.059704,           0.0084903,           0.0084903,           0.0084903
                  63,            0.084638,            0.025892,            0.052255,             0.14165,             0.19286,            0.050545,             0.01474,            0.095619,            0.018489,            0.059675,           0.0084655,           0.0084655,           0.0084655
                  64,            0.084845,            0.025056,            0.053423,             0.26091,             0.14286,            0.028368,           0.0072745,            0.099993,             0.02009,            0.061162,           0.0084408,           0.0084408,           0.0084408
                  65,             0.08308,             0.02527,            0.050795,             0.80645,             0.14286,             0.15936,            0.046194,             0.08945,            0.016592,            0.059905,            0.008416,            0.008416,            0.008416
                  66,             0.08371,            0.025633,            0.050602,            0.012605,            0.017857,           0.0071232,           0.0032441,            0.097222,            0.023765,            0.065529,           0.0083913,           0.0083913,           0.0083913
                  67,            0.084079,            0.025708,            0.051258,            0.024101,            0.017857,            0.010062,           0.0015586,            0.096766,             0.02279,            0.066058,           0.0083665,           0.0083665,           0.0083665
                  68,            0.086823,            0.025874,            0.051255,            0.017401,            0.017857,           0.0057948,            0.001066,            0.097103,             0.02322,            0.065864,           0.0083418,           0.0083418,           0.0083418
                  69,             0.08267,            0.026162,            0.051489,             0.13191,              0.0625,            0.011504,           0.0015258,            0.098644,            0.024203,            0.068552,            0.008317,            0.008317,            0.008317
                  70,            0.082843,            0.023582,            0.051468,             0.14209,            0.017857,           0.0056303,          0.00093447,            0.096793,            0.024626,            0.066085,           0.0082922,           0.0082922,           0.0082922
                  71,            0.082358,            0.023407,            0.050773,           0.0075866,             0.33988,            0.018769,           0.0031491,            0.090647,            0.017407,            0.061389,           0.0082675,           0.0082675,           0.0082675
                  72,            0.081809,            0.025034,            0.052054,           0.0096237,             0.33274,            0.041574,            0.010489,            0.095833,            0.018204,            0.059341,           0.0082428,           0.0082428,           0.0082428
                  73,            0.080932,            0.024046,            0.052675,             0.53161,             0.12504,            0.065475,            0.020476,            0.094242,            0.015525,            0.057131,            0.008218,            0.008218,            0.008218
                  74,            0.082103,            0.024743,            0.049681,             0.53956,             0.20536,            0.059153,            0.020525,            0.094832,            0.015798,            0.056989,           0.0081932,           0.0081932,           0.0081932
                  75,            0.079923,            0.024525,            0.050315,             0.52838,             0.20536,            0.049607,            0.016847,            0.094686,            0.016222,            0.057239,           0.0081685,           0.0081685,           0.0081685
                  76,            0.080074,            0.022401,            0.049921,             0.54458,             0.14286,            0.081284,            0.024233,            0.094058,            0.016958,            0.056667,           0.0081437,           0.0081437,           0.0081437
                  77,            0.082154,            0.024621,            0.049748,             0.66367,            0.080357,            0.061081,            0.018735,            0.093222,            0.024314,            0.064202,            0.008119,            0.008119,            0.008119
                  78,            0.080669,             0.02534,            0.050509,             0.29017,             0.22214,            0.081142,            0.033492,            0.091369,            0.018607,            0.062189,           0.0080942,           0.0080942,           0.0080942
                  79,            0.081711,            0.023132,            0.049117,             0.82634,              0.0625,             0.14535,            0.064561,            0.089105,            0.016996,            0.060101,           0.0080695,           0.0080695,           0.0080695
                  80,            0.081581,            0.024016,            0.049579,             0.25221,              0.0625,           0.0038145,           0.0016268,             0.10714,            0.025558,            0.083686,           0.0080447,           0.0080447,           0.0080447
                  81,            0.081583,            0.023993,            0.051453,             0.12789,                0.05,           0.0035965,           0.0011454,             0.11016,            0.020471,            0.099914,             0.00802,             0.00802,             0.00802
                  82,            0.081972,            0.022788,            0.051463,           0.0013574,                0.15,           0.0017703,          0.00040824,             0.12813,            0.042153,             0.22274,           0.0079953,           0.0079953,           0.0079953
                  83,            0.079997,            0.024056,            0.049948,             0.13208,              0.0875,           0.0045507,          0.00099224,             0.12326,            0.016993,               0.146,           0.0079705,           0.0079705,           0.0079705
                  84,            0.081287,            0.024502,            0.051937,             0.25301,                0.15,            0.003947,           0.0010594,             0.11349,            0.015399,            0.097208,           0.0079457,           0.0079457,           0.0079457
                  85,            0.080581,             0.02408,            0.050539,          0.00041254,              0.0625,           0.0010427,          0.00010427,             0.10304,            0.031244,            0.070488,            0.007921,            0.007921,            0.007921
                  86,            0.080969,            0.025631,            0.049892,             0.12804,               0.125,           0.0086866,           0.0016984,             0.10015,            0.029331,            0.069387,           0.0078963,           0.0078963,           0.0078963
                  87,            0.080087,            0.023665,            0.051131,          0.00021259,            0.035714,          0.00016649,          1.6649e-05,             0.10061,            0.030621,            0.065232,           0.0078715,           0.0078715,           0.0078715
                  88,            0.078981,            0.025248,            0.050004,                   0,                   0,                   0,                   0,             0.10091,             0.04358,            0.067253,           0.0078467,           0.0078467,           0.0078467
                  89,            0.076916,            0.023305,            0.050542,          0.00082707,             0.10536,           0.0008549,          0.00012433,            0.099545,            0.029109,            0.066478,            0.007822,            0.007822,            0.007822
                  90,            0.080209,            0.025535,            0.051815,             0.26384,            0.017857,           0.0059706,           0.0012919,             0.10106,            0.028499,            0.067665,           0.0077973,           0.0077973,           0.0077973
                  91,            0.079101,            0.023909,            0.049372,             0.19033,             0.16071,            0.033478,           0.0057343,             0.10329,             0.03002,            0.068784,           0.0077725,           0.0077725,           0.0077725
                  92,            0.078728,            0.025004,            0.051166,             0.25748,             0.10536,             0.01228,            0.001965,             0.10282,            0.032026,            0.068416,           0.0077478,           0.0077478,           0.0077478
                  93,            0.079013,            0.027984,            0.049285,            0.043313,             0.37143,            0.066212,            0.038828,              0.1034,            0.034497,            0.068478,            0.007723,            0.007723,            0.007723
                  94,            0.077039,            0.025157,             0.04922,             0.21826,             0.29107,             0.13584,            0.066207,            0.093311,            0.025225,            0.064383,           0.0076983,           0.0076983,           0.0076983
                  95,            0.079234,            0.023326,             0.04977,           0.0024152,             0.24821,           0.0048832,           0.0015418,             0.10115,            0.046393,            0.067688,           0.0076735,           0.0076735,           0.0076735
                  96,            0.077624,            0.024674,            0.048801,           0.0034316,             0.24821,           0.0043971,           0.0015788,             0.10084,             0.04212,            0.067256,           0.0076488,           0.0076488,           0.0076488
                  97,            0.076906,            0.023745,            0.050084,           0.0021186,               0.125,           0.0042888,           0.0012866,             0.10278,            0.040757,            0.068186,            0.007624,            0.007624,            0.007624
                  98,            0.078944,            0.027791,            0.049279,           0.0032675,             0.24821,            0.021388,            0.012598,            0.096755,            0.026861,            0.065573,           0.0075993,           0.0075993,           0.0075993
                  99,            0.078185,            0.026343,            0.049541,            0.010218,             0.24643,             0.13164,            0.050992,            0.096869,            0.027766,            0.066339,           0.0075745,           0.0075745,           0.0075745
                 100,            0.077138,            0.024199,            0.049444,             0.30283,             0.24643,             0.13424,            0.053148,            0.093375,             0.02488,            0.064928,           0.0075498,           0.0075498,           0.0075498
                 101,            0.077258,            0.024678,            0.049279,             0.64558,             0.14286,            0.069357,            0.029036,            0.088411,            0.017579,            0.062436,            0.007525,            0.007525,            0.007525
                 102,             0.07719,            0.025499,            0.048998,             0.39754,             0.20357,            0.041613,            0.014864,             0.08894,            0.018651,            0.060325,           0.0075003,           0.0075003,           0.0075003
                 103,            0.077386,            0.024442,            0.048353,             0.66486,             0.14286,            0.070946,             0.01627,            0.097718,             0.01872,            0.062926,           0.0074755,           0.0074755,           0.0074755
                 104,            0.075663,            0.026398,            0.049304,             0.67275,             0.16071,            0.042515,            0.011953,             0.10151,            0.020884,            0.070711,           0.0074507,           0.0074507,           0.0074507
                 105,            0.075394,            0.024991,            0.048216,             0.55435,             0.14286,            0.045898,            0.016308,            0.093732,            0.020872,            0.062912,            0.007426,            0.007426,            0.007426
                 106,            0.075776,            0.025512,            0.050061,             0.50469,              0.0625,           0.0055757,           0.0020816,             0.12084,            0.027474,              0.1004,           0.0074013,           0.0074013,           0.0074013
                 107,            0.077694,            0.024526,            0.048482,             0.79784,             0.11607,             0.10596,            0.037366,            0.085845,             0.01725,            0.057383,           0.0073765,           0.0073765,           0.0073765
                 108,            0.074484,            0.026062,            0.049883,             0.52849,             0.18571,             0.16755,            0.074501,            0.086956,            0.016084,            0.056125,           0.0073517,           0.0073517,           0.0073517
                 109,            0.073514,            0.023011,             0.05024,             0.65303,            0.035714,            0.049282,            0.022297,             0.08973,            0.015938,            0.054798,            0.007327,            0.007327,            0.007327
                 110,            0.074866,             0.02416,            0.048053,             0.51433,             0.14821,             0.15319,            0.096765,            0.088531,             0.01555,            0.055863,           0.0073023,           0.0073023,           0.0073023
                 111,            0.075239,            0.025847,            0.047057,             0.41368,             0.11607,            0.074059,            0.028267,             0.08658,            0.015972,            0.052597,           0.0072775,           0.0072775,           0.0072775
                 112,            0.075851,            0.026686,            0.048955,             0.84166,            0.080357,             0.17883,            0.074763,            0.087236,            0.016245,            0.056726,           0.0072527,           0.0072527,           0.0072527
                 113,            0.073108,            0.023938,            0.047394,             0.85349,            0.017857,            0.028263,           0.0083981,            0.092668,            0.021147,            0.065781,            0.007228,            0.007228,            0.007228
                 114,            0.072886,            0.024945,             0.04844,             0.25219,            0.080357,           0.0023876,          0.00086527,             0.12584,             0.11321,              0.1706,           0.0072033,           0.0072033,           0.0072033
                 115,             0.07874,             0.02552,            0.049937,             0.53743,             0.12082,            0.070767,            0.024298,             0.08649,            0.018732,            0.061121,           0.0071785,           0.0071785,           0.0071785
                 116,            0.075496,            0.025825,            0.048847,             0.39303,            0.080357,           0.0092315,           0.0030624,            0.098495,            0.027177,            0.065851,           0.0071538,           0.0071538,           0.0071538
                 117,            0.071874,            0.023543,            0.047846,             0.67199,            0.080357,             0.19841,            0.042925,            0.088565,            0.024969,            0.060439,            0.007129,            0.007129,            0.007129
                 118,            0.073739,            0.023439,            0.048351,             0.25206,            0.017857,           0.0014871,          0.00060349,             0.11285,             0.03575,            0.093252,           0.0071042,           0.0071042,           0.0071042
                 119,            0.071891,            0.024577,             0.04734,             0.25206,            0.080357,           0.0020464,          0.00055951,              0.1165,            0.038495,            0.093823,           0.0070795,           0.0070795,           0.0070795
                 120,            0.071814,            0.025579,            0.049125,             0.50824,            0.080357,           0.0048391,           0.0020572,             0.10389,            0.033861,            0.065006,           0.0070547,           0.0070547,           0.0070547
                 121,            0.074067,            0.025332,            0.048511,             0.65394,            0.080357,             0.16595,            0.030598,            0.091423,            0.022715,            0.062022,             0.00703,             0.00703,             0.00703
